YEAR,TOURNAMENT,WINNER,RUNNER-UP,WINNER_NATIONALITY,WINNER_ATP_RANKING,RUNNER-UP_ATP_RANKING,WINNER_LEFT_OR_RIGHT_HANDED,TOURNAMENT_SURFACE,WINNER_PRIZE
2022,French Open,Rafael Nadal,Casper Rudd,Spanish,5,8,left,Clay,1870000
2022,Australian Open,Rafael Nadal,Daniil Medvedev,Spanish,5,2,left,Plexicushion Prestige,4400000
2021,U.S. Open,Daniil Medvedev,Novak Djokovic,Russian,2,1,right,DecoTurf - outdoors,2500000
2021,Wimbledon,Novak Djokovic,Matteo Berrettini,Serbian,1,7,right,Grass / Outdoor,1700000
2021,French Open,Novak Djokovic,Stefanos Tsitsipas,Serbian,1,4,right,Clay,1400000
2021,Australian Open,Novak Djokovic,Daniil Medvedev,Serbian,1,2,right,Plexicushion Prestige,2875000
2020,French Open,Rafael Nadal,Novak Djokovic,Spanish,2,1,left,Clay,1600000
2020,U.S. Open,Dominic Thiem,Alexander Zverev,Austrian,3,7,right,DecoTurf - outdoors,2500000
2020,Australian Open,Novak Djokovic,Dominic Thiem,Serbian,1,3,right,Plexicushion Prestige,4120000
2019,U.S. Open,Rafael Nadal,Daniil Medvedev,Spanish,1,5,left,DecoTurf - outdoors,3850000
2019,Wimbledon,Novak Djokovic,Roger Federer,Serbian,2,3,right,Grass / Outdoor,2350000
2019,French Open,Rafael Nadal,Dominic Thiem,Spanish,1,4,left,Clay,2300000
2019,Australian Open,Novak Djokovic,Rafael Nadal,Serbian,2,1,right,Plexicushion Prestige,4100000
2018,U.S. Open,Novak Djokovic,Juan Martin del Potro,Serbian,1,5,right,DecoTurf - outdoors,3800000
2018,Wimbledon,Novak Djokovic,Kevin Anderson,Serbian,1,6,right,Grass / Outdoor,2250000
2018,French Open,Rafael Nadal,Dominic Thiem,Spanish,2,8,left,Clay,2200000
2018,Australian Open,Roger Federer,Marin ili,Swiss,3,7,right,Plexicushion Prestige,4000000
2017,U.S. Open,Rafael Nadal,Kevin Anderson,Spanish,1,14,left,DecoTurf - outdoors,3700000
2017,Wimbledon,Roger Federer,Marin ili,Swiss,2,6,right,Grass / Outdoor,2200000
2017,French Open,Rafael Nadal,Stan Wawrinka,Spanish,1,9,left,Clay,2100000
2017,Australian Open,Roger Federer,Rafael Nadal,Swiss,2,1,right,Plexicushion Prestige,3700000
2016,U.S. Open,Stan Wawrinka,Novak Djokovic,Swiss,4,2,right,DecoTurf - outdoors,3500000
2016,Wimbledon,Andy Murray,Milos Raonic,British,1,3,right,Grass / Outdoor,2000000
2016,French Open,Novak Djokovic,Andy Murray,Serbian,2,1,right,Clay,2000000
2016,Australian Open,Novak Djokovic,Andy Murray,Serbian,2,1,right,Plexicushion Prestige,3400000
2015,U.S. Open,Novak Djokovic,Roger Federer,Serbian,1,3,right,DecoTurf - outdoors,3300000
2015,Wimbledon,Novak Djokovic,Roger Federer,Serbian,1,3,right,Grass / Outdoor,1880000
2015,French Open,Stan Wawrinka,Novak Djokovic,Swiss,4,1,right,Clay,1800000
2015,Australian Open,Novak Djokovic,Andy Murray,Serbian,1,2,right,Plexicushion Prestige,3100000
2014,U.S. Open,Marin Cilic,Kei Nishikori,Croatian,9,5,right,DecoTurf - outdoors,3000000
2014,Wimbledon,Novak Djokovic,Roger Federer,Serbian,1,2,right,Grass / Outdoor,1760000
2014,French Open,Rafael Nadal,Novak Djokovic,Spanish,3,1,left,Clay,1650000
2014,Australian Open,Stan Wawrinka,Rafael Nadal,Swiss,4,3,right,Plexicushion Prestige,2650000
2013,U.S. Open,Rafael Nadal,Novak Djokovic,Spanish,1,2,left,DecoTurf - outdoors,2600000
2013,Wimbledon,Andy Murray,Novak Djokovic,British,4,2,right,Grass / Outdoor,1600000
2013,French Open,Rafael Nadal,David Ferrer,Spanish,1,3,left,Clay,1500000
2013,Australian Open,Novak Djokovic,Andy Murray,Serbian,2,4,right,Plexicushion Prestige,2430000
2012,U.S. Open,Andy Murray,Novak Djokovic,British,3,1,right,DecoTurf - outdoors,1900000
2012,Wimbledon,Roger Federer,Andy Murray,Swiss,2,3,right,Grass / Outdoor,1150000
2012,French Open,Rafael Nadal,Novak Djokovic,Spanish,4,1,left,Clay,1250000
2012,Australian Open,Novak Djokovic,Rafael Nadal,Serbian,1,4,right,Plexicushion Prestige,2300000
2011,U.S. Open,Novak Djokovic,Rafael Nadal,Serbian,1,2,right,DecoTurf - outdoors,1800000
2011,Wimbledon,Novak Djokovic,Rafael Nadal,Serbian,1,2,right,Grass / Outdoor,1100000
2011,French Open,Rafael Nadal,Roger Federer,Spanish,2,3,left,Clay,1200000
2011,Australian Open,Novak Djokovic,Andy Murray,Serbian,1,4,right,Plexicushion Prestige,2200000
2010,U.S. Open,Rafael Nadal,Novak Djokovic,Spanish,1,3,left,DecoTurf - outdoors,1700000
2010,Wimbledon,Rafael Nadal,Tomas Berdych,Spanish,1,6,left,Grass / Outdoor,1000000
2010,French Open,Rafael Nadal,Robin Soderling,Spanish,1,5,left,Clay,1120000
2010,Australian Open,Roger Federer,Andy Murray,Swiss,2,4,right,Plexicushion Prestige,2100000
2009,U.S. Open,Juan Martin del Potro,Roger Federer,Argentine,5,5,right,DecoTurf - outdoors,1600000
2009,Wimbledon,Roger Federer,Andy Roddick,Swiss,1,1,right,Grass / Outdoor,850000
2009,French Open,Roger Federer,Robin Soderling,Swiss,1,1,right,Clay,1060000
2009,Australian Open,Rafael Nadal,Roger Federer,Spanish,2,2,left,Plexicushion Prestige,2000000
2008,U.S. Open,Roger Federer,Andy Murray,Swiss,2,4,right,DecoTurf - outdoors,1500000
2008,Wimbledon,Rafael Nadal,Roger Federer,Spanish,1,2,left,Grass / Outdoor,750000
2008,French Open,Rafael Nadal,Roger Federer,Spanish,1,2,left,Clay,1000000
2008,Australian Open,Novak Djokovic,Jo-Wilfried Tsonga,Serbian,3,6,right,Plexicushion Prestige,1370000
2007,U.S. Open,Roger Federer,Novak Djokovic,Swiss,1,3,right,DecoTurf - outdoors,1400000
2007,Wimbledon,Roger Federer,Rafael Nadal,Swiss,1,2,right,Grass / Outdoor,700000
2007,French Open,Rafael Nadal,Roger Federer,Spanish,2,1,left,Clay,1000000
2007,Australian Open,Roger Federer,Fernando Gonzalez,Swiss,1,7,right,Rebound Ace,1281000
2006,U.S. Open,Roger Federer,Andy Roddick,Swiss,,,right,DecoTurf - outdoors,1200000
2006,Wimbledon,Roger Federer,Rafael Nadal,Swiss,,,right,Grass / Outdoor,655000
2006,French Open,Rafael Nadal,Roger Federer,Spanish,,,left,Clay,940000
2006,Australian Open,Roger Federer,Marcos Baghdatis,Swiss,,,right,Rebound Ace,1220000
2005,U.S. Open,Roger Federer,Andre Agassi,Swiss,,,right,DecoTurf - outdoors,1100000
2005,Wimbledon,Roger Federer,Andy Roddick,Swiss,,,right,Grass / Outdoor,630000
2005,French Open,Rafael Nadal,Mariano Puerta,Spanish,,,left,Clay,880000
2005,Australian Open,Marat Safin,Lleyton Hewitt,Russian,,,right,Rebound Ace,1206620
2004,U.S. Open,Roger Federer,Lleyton Hewitt,Swiss,,,right,DecoTurf - outdoors,1000000
2004,Wimbledon,Roger Federer,Andy Roddick,Swiss,,,right,Grass / Outdoor,602500
2004,French Open,Gaston Gaudio,Guillermo Coria,Argentine,,,right,Clay,860000
2004,Australian Open,Roger Federer,Marat Safin,Swiss,,,right,Rebound Ace,1200000
